"tokenId","documentId","textContent","textOffset","lemma","index","partOfSpeech_tag","partOfSpeech_aspect","partOfSpeech_case","partOfSpeech_form","partOfSpeech_gender","partOfSpeech_mood","partOfSpeech_number","partOfSpeech_person","partOfSpeech_proper","partOfSpeech_reciprocity","partOfSpeech_tense","partOfSpeech_voice","dependencyEdge_headTokenIndex","dependencyEdge_label"
"2b798965ca6d69a7a9f05d778950ba30","VERIFY_ALL_METHODS_SUCCESS","Pavol","0","Pavol","0","NOUN","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","MOOD_UNKNOWN","SINGULAR","PERSON_UNKNOWN","PROPER","RECIPROCITY_UNKNOWN","TENSE_UNKNOWN","VOICE_UNKNOWN","1","NN"
"0be8b2eba35c6c794a42aa56dd55f2ef","VERIFY_ALL_METHODS_SUCCESS","Demitra","6","Demitra","1","NOUN","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","MOOD_UNKNOWN","SINGULAR","PERSON_UNKNOWN","PROPER","RECIPROCITY_UNKNOWN","TENSE_UNKNOWN","VOICE_UNKNOWN","2","NSUBJ"
"691970c40423997a549cefee32cb7d53","VERIFY_ALL_METHODS_SUCCESS","was","14","be","2","VERB","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","INDICATIVE","SINGULAR","THIRD","PROPER_UNKNOWN","RECIPROCITY_UNKNOWN","PAST","VOICE_UNKNOWN","2","ROOT"
"422d07bd4ef2554fa907f396be8095aa","VERIFY_ALL_METHODS_SUCCESS","a","18","a","3","DET","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","MOOD_UNKNOWN","NUMBER_UNKNOWN","PERSON_UNKNOWN","PROPER_UNKNOWN","RECIPROCITY_UNKNOWN","TENSE_UNKNOWN","VOICE_UNKNOWN","8","DET"
"caeea2244612fc69e8fbcfc290d19630","VERIFY_ALL_METHODS_SUCCESS","Slovak","20","Slovak","4","ADJ","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","MOOD_UNKNOWN","SINGULAR","PERSON_UNKNOWN","PROPER_UNKNOWN","RECIPROCITY_UNKNOWN","TENSE_UNKNOWN","VOICE_UNKNOWN","8","AMOD"
"1d81f9ba9b2f838ea90ab2ea93a69d23","VERIFY_ALL_METHODS_SUCCESS","pebrofessional","27","pebrofessional","5","NOUN","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","MOOD_UNKNOWN","SINGULAR","PERSON_UNKNOWN","PROPER_UNKNOWN","RECIPROCITY_UNKNOWN","TENSE_UNKNOWN","VOICE_UNKNOWN","6","NN"
"c27a8b9599e97452b29e91c2a0d33756","VERIFY_ALL_METHODS_SUCCESS","ice","42","ice","6","NOUN","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","MOOD_UNKNOWN","SINGULAR","PERSON_UNKNOWN","PROPER_UNKNOWN","RECIPROCITY_UNKNOWN","TENSE_UNKNOWN","VOICE_UNKNOWN","8","NN"
"1567ae92644df80cd93a143362e6879b","VERIFY_ALL_METHODS_SUCCESS","hockey","46","hockey","7","NOUN","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","MOOD_UNKNOWN","SINGULAR","PERSON_UNKNOWN","PROPER_UNKNOWN","RECIPROCITY_UNKNOWN","TENSE_UNKNOWN","VOICE_UNKNOWN","8","NN"
"896c8778e70a56461433e24d92bd7823","VERIFY_ALL_METHODS_SUCCESS","player","53","player","8","NOUN","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","MOOD_UNKNOWN","SINGULAR","PERSON_UNKNOWN","PROPER_UNKNOWN","RECIPROCITY_UNKNOWN","TENSE_UNKNOWN","VOICE_UNKNOWN","2","ATTR"
"0c7dd92457b83c3d7d35553ed2fa4f2d","VERIFY_ALL_METHODS_SUCCESS",".","59",".","9","PUNCT","ASPECT_UNKNOWN","CASE_UNKNOWN","FORM_UNKNOWN","GENDER_UNKNOWN","MOOD_UNKNOWN","NUMBER_UNKNOWN","PERSON_UNKNOWN","PROPER_UNKNOWN","RECIPROCITY_UNKNOWN","TENSE_UNKNOWN","VOICE_UNKNOWN","2","P"
